灵境行者; 卖报小郎君; 科幻; LZ
深空彼岸; 辰东; 都市; LZ
光阴之外; 耳根; 仙侠; LZ
道诡异仙; 狐尾的笔; 玄幻; LZ
轮回乐园; 那一只蚊子; 轻小说; LZ
这游戏也太真实了; 晨星LL; 轻小说; LZ
择日飞升; 宅猪; 仙侠; LZ
明克街13号; 纯洁滴小龙; 都市; LZ
不科学御兽; 轻泉流响; 玄幻; WJ
机武风暴; 骷髅精灵; 科幻; LZ
深海余烬; 远瞳; 科幻; LZ
宇宙职业选手; 我吃西红柿; 科幻; LZ
赤心巡天; 情何以甚; 仙侠; LZ
夜的命名术; 会说话的肘子; 都市; WJ
唐人的餐桌; 孑与2; 历史; LZ
请公子斩妖; 裴不了; 仙侠; LZ
刚成仙神，子孙求我出山; 任我笑; 仙侠; LZ
当不成赘婿就只好命格成圣; 南瞻台; 玄幻; LZ
国民法医; 志鸟村; 都市; LZ
诡秘之主; 爱潜水的乌贼; 玄幻; WJ
我的姐夫是太子; 上山打老虎额; 历史; LZ
我家娘子，不对劲; 一蝉知夏; 轻小说; LZ
终宋; 怪诞的表哥; 历史; LZ
渊天尊; 烽仙; 仙侠; LZ
家父汉高祖; 历史系之狼; 历史; LZ
我是导演，我不比烂; 不是老狗; 都市; LZ
美漫世界黎明轨迹; 帅犬弗兰克; 游戏; LZ
我就是神！; 历史里吹吹风; 玄幻; LZ
万古神帝; 飞天鱼; 玄幻; LZ
超时空相亲; 业火之剑; 科幻; LZ
火力为王; 如水意; 都市; LZ
我的属性修行人生; 滚开; 玄幻; LZ
大明皇长孙！; 执笔见春秋; 历史; LZ
高天之上; 阴天神隐; 奇幻; LZ
我用闲书成圣人; 出走八万里; 仙侠; LZ
我的替身是史蒂夫; 栖月幽蓝; 轻小说; LZ
神秘复苏; 佛前献花; 仙侠; LZ
红楼之挽天倾; 林悦南兮; 历史; LZ
古神在低语; 海棠灯; 科幻; LZ
保护我方族长; 傲无常; 玄幻; LZ
我的治愈系游戏; 我会修空调; 悬疑; LZ
诸界第一因; 裴屠狗; 玄幻; LZ
神话版三国; 坟土荒草; 历史; LZ
镇妖博物馆; 阎ZK; 悬疑; WJ
国术？贫道不会，我只会雷法; 乌龙桃子; 都市; LZ
帝霸; 厌笔萧生; 玄幻; LZ
天启预报; 风月; 奇幻; LZ
从军火商到战争之王; 耗子爱吃鸡腿; 都市; LZ
我的公公叫康熙; 雁九; 历史; LZ
皓玉真仙; 小道不讲武德; 仙侠; LZ
大医无疆; 石章鱼; 都市; LZ
我的诡异人生; 白刃斩春风; 玄幻; LZ
我在修仙界万古长青; 快餐店; 仙侠; LZ
仙者; 忘语; 仙侠; LZ
在美漫当心灵导师的日子; 遇牧烧绳; 轻小说; LZ
四合院之饮食男女; 武文弄沫; 都市; LZ
从武王伐纣开始建立千年世家; 花非花月夜; 历史; LZ
开局失业，我让歌坛大魔王回归; 程砚秋; 都市; LZ
苟在女魔头身边偷偷修炼; 怕辣的红椒; 仙侠; LZ
陈医生，别怂！; 手握寸关尺; 都市; LZ
国王; 新海月1; 奇幻; LZ
女侠且慢; 关关公子; 玄幻; LZ
